0,1,2,3,4,5,6,7,8,9,10,11,12,13
1.0,104.0,46.0,85.0,102.0,107.2,35.0,35.0,99.0,107.2,132.0,104.0,99.0,53.8
1.0,58.0,29.0,85.0,100.0,107.1,35.0,35.0,100.0,107.1,130.0,58.0,99.0,56.2
1.0,104.0,47.0,85.0,102.0,106.4,34.0,35.0,99.0,106.4,129.0,104.0,99.0,54.3
1.0,58.0,30.0,85.0,100.0,106.0,33.0,35.0,99.0,106.0,125.0,58.0,99.0,56.2
1.0,104.0,48.0,85.0,101.0,106.6,36.0,35.0,99.0,106.6,129.0,104.0,102.0,54.3
1.0,58.0,31.0,85.0,100.0,106.0,32.0,35.0,99.0,106.0,129.0,58.0,100.0,55.3
1.0,104.0,49.0,85.0,101.0,106.9,34.0,35.0,100.0,106.9,131.0,104.0,101.0,53.5
1.0,58.0,32.0,85.0,100.0,106.0,34.0,35.0,98.0,106.0,128.0,58.0,100.0,55.3
1.0,104.0,50.0,85.0,101.0,107.6,35.0,35.0,101.0,107.6,131.0,104.0,100.0,53.5
1.0,58.0,33.0,85.0,100.0,106.4,35.0,35.0,99.0,106.4,124.0,58.0,99.0,52.9
1.0,104.0,51.0,85.0,102.0,106.6,34.0,35.0,100.0,106.6,132.0,104.0,102.0,53.7
1.0,58.0,34.0,85.0,100.0,106.3,35.0,34.0,98.0,106.3,121.0,58.0,99.0,52.9
1.0,104.0,52.0,85.0,102.0,106.6,33.0,35.0,100.0,106.6,134.0,104.0,102.0,53.7
1.0,58.0,35.0,85.0,100.0,107.1,35.0,34.0,98.0,107.1,126.0,58.0,100.0,52.5
1.0,104.0,53.0,85.0,101.0,106.4,34.0,35.0,99.0,106.4,130.0,104.0,100.0,54.2
1.0,58.0,36.0,85.0,100.0,106.7,36.0,35.0,99.0,106.7,130.0,58.0,99.0,52.5
1.0,104.0,54.0,85.0,101.0,107.3,35.0,35.0,98.0,107.3,131.0,104.0,100.0,54.2
1.0,58.0,37.0,85.0,100.0,106.3,35.0,35.0,96.0,106.3,130.0,58.0,99.0,52.5
